Member_number,Date,itemDescription
1000,2014-06-24,whole milk
1000,2014-06-24,pastry
1000,2014-06-24,salty snack
1000,2015-03-15,sausage
1000,2015-03-15,whole milk
1000,2015-03-15,semi-finished bread
1000,2015-03-15,yogurt
1000,2015-05-27,soda
1000,2015-05-27,pickled vegetables
1000,2015-07-24,canned beer
1000,2015-07-24,misc. beverages
1000,2015-11-25,sausage
1000,2015-11-25,hygiene articles
1001,2014-02-07,sausage
1001,2014-02-07,whole milk
1001,2014-02-07,rolls/buns
1001,2014-12-12,whole milk
1001,2014-12-12,soda
1001,2015-01-20,frankfurter
1001,2015-01-20,soda
1001,2015-01-20,whipped/sour cream
1001,2015-04-14,beef
1001,2015-04-14,white bread
1001,2015-05-02,frankfurter
1001,2015-05-02,curd
1002,2014-02-09,frozen vegetables
1002,2014-02-09,other vegetables
1002,2014-04-26,butter
1002,2014-04-26,whole milk
1002,2015-04-26,tropical fruit
1002,2015-04-26,sugar
1002,2015-08-30,butter milk
1002,2015-08-30,specialty chocolate
1003,2014-01-19,frozen meals
1003,2014-01-19,dental care
1003,2014-02-27,rolls/buns
1003,2014-10-15,root vegetables
1003,2014-10-15,detergent
1003,2015-02-10,sausage
1003,2015-02-10,rolls/buns
1004,2014-02-04,pip fruit
1004,2014-02-04,whole milk
1004,2014-02-04,tropical fruit
1004,2014-05-01,dish cleaner
1004,2014-05-01,cling film/bags
1004,2014-06-10,rolls/buns
1004,2014-06-10,red/blush wine
1004,2014-06-10,chocolate
1004,2014-07-01,canned beer
1004,2014-07-01,frozen fish
1004,2014-07-10,other vegetables
1004,2014-07-10,shopping bags
1004,2014-08-19,root vegetables
1004,2014-08-19,whole milk
1004,2014-08-19,pastry
1004,2014-10-13,whole milk
1004,2014-10-13,chocolate
1004,2014-10-13,packaged fruit/vegetables
1004,2014-10-13,rolls/buns
1004,2015-12-02,other vegetables
1004,2015-12-02,hygiene articles
1005,2014-01-09,rolls/buns
1005,2014-01-23,whipped/sour cream
1005,2014-01-23,margarine
1006,2014-04-09,whole milk
1006,2014-04-09,rice
1006,2014-07-05,bottled water
1006,2014-07-05,softener
1006,2014-07-05,rolls/buns
1006,2014-07-11,shopping bags
1006,2014-07-11,skin care
1006,2015-06-14,whole milk
1006,2015-06-14,frankfurter
1006,2015-06-14,chicken
1006,2015-06-14,flour
1006,2015-06-14,chocolate
1006,2015-06-14,bottled beer
1006,2015-06-14,rolls/buns
1008,2015-07-21,tropical fruit
1008,2015-07-21,soda
1008,2015-07-21,yogurt
1008,2015-07-21,root vegetables
1008,2015-07-21,domestic eggs
1008,2015-07-21,white wine
1008,2015-07-21,photo/film
1008,2015-10-03,hamburger meat
1008,2015-10-03,liquor (appetizer)
1008,2015-10-03,liver loaf
1008,2015-10-03,dessert
1009,2014-01-24,canned fish
1009,2014-01-24,cocoa drinks
1009,2015-05-14,tropical fruit
1009,2015-05-14,yogurt
1009,2015-09-23,pastry
1009,2015-09-23,ketchup
1009,2015-10-05,herbs
1009,2015-10-05,yogurt
1009,2015-10-05,newspapers
1010,2014-03-05,pip fruit
1010,2014-03-05,coffee
1010,2014-03-05,uht-milk
1010,2014-04-10,kitchen towels
1010,2014-04-10,sliced cheese
1010,2014-08-23,bottled water
1010,2014-08-23,specialty bar
1010,2014-08-27,frankfurter
1010,2014-08-27,bottled water
1010,2015-07-31,pip fruit
1010,2015-07-31,candles
1010,2015-07-31,rolls/buns
1011,2014-02-15,citrus fruit
1011,2014-02-15,candy
1011,2014-02-15,bottled water
1011,2014-02-15,rolls/buns
1011,2014-06-02,curd cheese
1011,2014-06-02,pastry
1011,2015-12-09,whole milk
1011,2015-12-09,frankfurter
1011,2015-12-09,candles
1011,2015-12-09,grapes
1011,2015-12-09,herbs
1011,2015-12-09,other vegetables
1011,2015-12-09,yogurt
1012,2014-06-22,frozen vegetables
1012,2014-06-22,brown bread
1012,2015-03-27,processed cheese
1012,2015-03-27,whole milk
1012,2015-10-03,frankfurter
1012,2015-10-03,yogurt
1012,2015-11-19,tropical fruit
1012,2015-11-19,root vegetables
1012,2015-11-19,rolls/buns
1012,2015-11-19,onions
1012,2015-11-19,shopping bags
1013,2014-01-17,hard cheese
1013,2014-01-17,napkins
1013,2014-01-17,bottled water
1013,2014-02-20,whole milk
1013,2014-02-20,candy
1013,2014-03-26,tropical fruit
1013,2014-03-26,frozen vegetables
1013,2014-03-28,mustard
1013,2014-03-28,whipped/sour cream
1013,2014-07-15,other vegetables
1013,2014-07-15,mustard
1013,2014-11-12,root vegetables
1013,2014-11-12,mayonnaise
1013,2015-07-02,frozen meals
1013,2015-07-02,whole milk
1013,2015-10-02,white bread
1013,2015-10-02,meat
1013,2015-10-02,domestic eggs
1013,2015-10-02,roll products
1014,2014-09-04,hamburger meat
1014,2014-09-04,butter milk
1014,2014-10-06,whole milk
1014,2014-10-06,rolls/buns
1014,2015-01-04,canned beer
1014,2015-01-04,cookware
1014,2015-10-03,whole milk
1014,2015-10-03,sausage
1014,2015-10-03,bottled beer
1014,2015-10-03,yogurt
1015,2014-06-28,fruit/vegetable juice
1015,2014-06-28,rolls/buns
1015,2014-06-28,chocolate
1015,2015-03-22,salty snack
1015,2015-03-22,beef
1015,2015-05-04,citrus fruit
1015,2015-05-04,whole milk
1016,2015-04-23,soft cheese
1016,2015-04-23,pip fruit
1016,2015-07-19,chicken
1016,2015-07-19,red/blush wine
1016,2015-09-30,rolls/buns
1016,2015-09-30,frankfurter
1016,2015-09-30,oil
1016,2015-09-30,pip fruit
1016,2015-09-30,mayonnaise
1016,2015-10-05,uht-milk
1016,2015-10-05,bottled beer
1017,2014-02-21,other vegetables
1017,2014-02-21,root vegetables
1017,2014-06-19,yogurt
1017,2014-06-19,beef
1017,2014-10-14,brown bread
1017,2014-10-14,pet care
1017,2015-05-16,other vegetables
1017,2015-05-16,rolls/buns
1017,2015-09-30,soda
1017,2015-09-30,dessert
1017,2015-09-30,shopping bags
1018,2014-04-15,beverages
1018,2014-04-15,domestic eggs
1018,2014-05-27,berries
1018,2014-05-27,cake bar
1018,2014-10-01,curd
1018,2014-10-01,long life bakery product
1018,2015-05-23,butter milk
1018,2015-05-23,root vegetables
1019,2014-12-10,hamburger meat
1019,2014-12-10,red/blush wine
1020,2014-07-19,frozen meals
1020,2014-07-19,butter
1020,2014-07-19,newspapers
1020,2014-07-19,yogurt
1020,2014-08-12,canned beer
1020,2014-08-12,shopping bags
1020,2015-10-13,canned beer
1020,2015-10-13,spices
1020,2015-10-13,rolls/buns
1020,2015-10-13,frozen fish
1021,2014-05-30,sliced cheese
1021,2014-05-30,butter
1021,2015-10-22,liquor
1021,2015-10-22,curd
1021,2015-10-22,yogurt
1021,2015-10-22,tropical fruit
1021,2015-11-07,rolls/buns
1021,2015-11-07,baking powder
1022,2014-02-22,beef
1022,2014-02-22,napkins
1022,2014-03-25,whole milk
1022,2014-03-25,whipped/sour cream
1022,2014-06-07,sausage
1022,2014-06-07,fruit/vegetable juice
1023,2014-05-17,chicken
1023,2014-05-17,frozen meals
1023,2014-05-22,male cosmetics
1023,2014-05-22,curd
1023,2014-06-13,domestic eggs
1023,2014-06-13,soda
1023,2014-12-30,sausage
1023,2014-12-30,whipped/sour cream
1023,2014-12-30,specialty bar
1023,2015-01-06,whipped/sour cream
1023,2015-01-06,root vegetables
1023,2015-01-06,rolls/buns
1023,2015-01-06,packaged fruit/vegetables
1023,2015-06-28,white bread
1023,2015-06-28,bottled beer
1023,2015-06-28,yogurt
1023,2015-06-28,berries
1024,2015-08-10,fish
1024,2015-08-10,root vegetables
1024,2015-08-10,tropical fruit
1024,2015-08-10,other vegetables
1025,2014-02-06,coffee
1025,2014-02-06,shopping bags
1025,2014-03-10,ham
1025,2014-03-10,cream cheese
1025,2015-08-19,canned beer
1025,2015-08-19,uht-milk
1026,2014-03-08,sausage
1026,2014-03-08,dessert
1026,2014-03-08,rolls/buns
1026,2014-03-08,pickled vegetables
1026,2014-06-18,root vegetables
1026,2014-06-18,long life bakery product
1026,2014-08-23,citrus fruit
1026,2014-08-23,yogurt
1026,2015-03-15,fruit/vegetable juice
1026,2015-03-15,salty snack
1026,2015-03-15,candy
1026,2015-03-15,dental care
1026,2015-03-15,butter
1026,2015-05-28,root vegetables
1026,2015-05-28,whipped/sour cream
1026,2015-05-28,canned beer
1027,2014-05-14,softener
1027,2014-05-14,salt
1027,2014-05-14,whole milk
1027,2014-09-22,rolls/buns
1027,2014-09-22,bottled water
1027,2015-02-25,rolls/buns
1027,2015-02-25,red/blush wine
1027,2015-05-17,pork
1027,2015-05-17,hamburger meat
1028,2014-04-05,rolls/buns
1028,2014-04-05,sugar
1028,2014-04-24,rolls/buns
1028,2014-04-24,baking powder
1028,2014-04-24,onions
1028,2014-04-24,bottled water
1028,2014-11-10,soda
1028,2014-11-10,butter
1028,2015-06-02,onions
1028,2015-06-02,canned beer
1028,2015-06-02,flower (seeds)
1028,2015-07-11,specialty chocolate
1028,2015-07-11,root vegetables
1029,2015-03-14,dessert
1029,2015-03-14,ham
1031,2014-03-04,ice cream
1031,2014-03-04,pot plants
1031,2015-08-26,beverages
1031,2015-08-26,cream cheese
1031,2015-10-15,other vegetables
1031,2015-10-15,berries
1032,2014-01-26,whipped/sour cream
1032,2014-01-26,newspapers
1032,2014-09-23,white bread
1032,2014-09-23,whole milk
1032,2014-09-23,pastry
1032,2014-09-23,shopping bags
1032,2015-06-15,berries
1032,2015-06-15,soda
1032,2015-06-15,butter
1032,2015-06-15,other vegetables
1032,2015-06-15,white bread
1032,2015-06-15,cream cheese
1032,2015-07-13,ice cream
1032,2015-07-13,whipped/sour cream
1032,2015-08-23,yogurt
1032,2015-08-23,root vegetables
1033,2014-03-02,frankfurter
1033,2014-03-02,pastry
1033,2014-04-18,fruit/vegetable juice
1033,2014-04-18,dessert
1033,2014-04-21,sausage
1033,2014-04-21,snack products
1033,2014-04-21,rolls/buns
1033,2015-04-22,tropical fruit
1033,2015-04-22,soda
1033,2015-04-22,rolls/buns
1033,2015-06-15,chicken
1033,2015-06-15,waffles
1034,2014-02-24,pip fruit
1034,2014-02-24,cling film/bags
1034,2014-02-24,yogurt
1034,2014-02-24,cat food
1034,2014-04-28,bottled water
1034,2014-04-28,domestic eggs
1034,2014-04-28,frozen meals
1034,2014-05-13,tropical fruit
1034,2014-05-13,newspapers
1035,2014-06-25,whole milk
1035,2014-06-25,frozen vegetables
1035,2014-08-15,pip fruit
1035,2014-08-15,white wine
1035,2014-08-15,white bread
1035,2014-08-15,salt
1035,2015-04-24,whole milk
1035,2015-04-24,yogurt
1035,2015-04-24,rolls/buns
1035,2015-05-23,sausage
1035,2015-05-23,frozen vegetables
1035,2015-09-08,whole milk
1035,2015-09-08,newspapers
1036,2014-01-20,fruit/vegetable juice
1036,2014-01-20,vinegar
1037,2014-02-24,tropical fruit
1037,2014-02-24,white bread
1037,2014-02-24,rolls/buns
1037,2014-06-06,citrus fruit
1037,2014-06-06,shopping bags
1037,2014-06-06,chewing gum
1037,2014-06-06,cake bar
1037,2015-12-16,frankfurter
1037,2015-12-16,yogurt
1037,2015-12-16,canned beer
1038,2014-01-28,margarine
1038,2014-01-28,napkins
1038,2015-02-21,sausage
1038,2015-02-21,pork
1038,2015-02-21,butter
1038,2015-02-21,whole milk
1038,2015-02-21,fruit/vegetable juice
1038,2015-04-02,whole milk
1038,2015-04-02,pip fruit
1038,2015-04-02,whipped/sour cream
1038,2015-04-10,other vegetables
1038,2015-04-10,specialty chocolate
1038,2015-04-23,pip fruit
1038,2015-04-23,herbs
1038,2015-04-23,frozen meals
1038,2015-12-14,instant food products
1038,2015-12-14,whipped/sour cream
1038,2015-12-14,butter
1038,2015-12-14,cake bar
1039,2015-05-31,salty snack
1039,2015-05-31,rolls/buns
1040,2014-06-14,yogurt
1040,2014-06-14,rolls/buns
1040,2014-09-03,whole milk
1040,2014-09-03,pasta
1040,2014-09-03,rolls/buns
1040,2014-10-24,root vegetables
1040,2014-10-24,white bread
1040,2015-11-26,tropical fruit
1040,2015-11-26,chicken
1040,2015-11-26,onions
1040,2015-11-26,packaged fruit/vegetables
1041,2014-06-13,chicken
1041,2014-06-13,frozen vegetables
1041,2014-06-13,candy
1041,2014-06-29,tropical fruit
1041,2014-06-29,brown bread
1041,2014-06-29,whole milk
1041,2014-07-07,prosecco
1041,2014-07-07,dessert
1041,2015-04-02,hamburger meat
1041,2015-04-02,yogurt
1042,2015-02-12,beef
1042,2015-02-12,dessert
1042,2015-05-22,citrus fruit
1042,2015-05-22,bottled water
1042,2015-10-16,whole milk
1042,2015-10-16,other vegetables
1043,2014-03-14,tropical fruit
1043,2014-03-14,sliced cheese
1043,2014-06-16,napkins
1043,2014-06-16,whole milk
1043,2014-06-16,chocolate marshmallow
1043,2015-01-10,citrus fruit
1043,2015-01-10,rolls/buns
1043,2015-01-10,whole milk
1044,2015-02-09,tropical fruit
1044,2015-02-09,other vegetables
1044,2015-10-25,root vegetables
1044,2015-10-25,curd
1045,2014-01-12,root vegetables
1045,2014-01-12,yogurt
1045,2014-01-12,butter
1045,2014-04-10,fruit/vegetable juice
1045,2014-04-10,specialty chocolate
1045,2014-04-10,instant food products
1045,2015-11-25,chicken
1045,2015-11-25,onions
1046,2015-06-18,whole milk
1046,2015-06-18,pastry
1046,2015-06-24,pork
1046,2015-06-24,bottled water
1047,2014-12-17,pip fruit
1047,2014-12-17,soda
1047,2015-01-04,curd
1047,2015-01-04,soda
1047,2015-08-09,sweet spreads
1047,2015-08-09,butter
1048,2015-10-06,rolls/buns
1048,2015-10-06,condensed milk
1048,2015-10-06,whole milk
1048,2015-10-06,soda
1048,2015-10-18,rolls/buns
1048,2015-10-18,tropical fruit
1049,2014-01-07,specialty bar
1049,2014-01-07,margarine
1049,2015-07-01,butter
1049,2015-07-01,whole milk
1049,2015-08-04,white bread
1049,2015-08-04,candy
1049,2015-09-05,frankfurter
1049,2015-09-05,herbs
1050,2014-02-15,waffles
1050,2014-02-15,beverages
1050,2014-03-06,house keeping products
1050,2014-03-06,yogurt
1050,2014-05-30,pasta
1050,2014-05-30,yogurt
1050,2014-05-30,cat food
1050,2014-10-10,whipped/sour cream
1050,2014-10-10,hygiene articles
1050,2014-10-12,uht-milk
