support,itemsets,length
0.0014702933903628951,frozenset({'abrasive cleaner'}),1
0.0019381140145692708,frozenset({'artif. sweetener'}),1
0.008086613646995923,frozenset({'baking powder'}),1
0.0011361358016440553,frozenset({'bathroom cleaner'}),1
0.03395041101383412,frozenset({'beef'}),1
0.021787074784468355,frozenset({'berries'}),1
0.016574216400454454,frozenset({'beverages'}),1
0.04531176903027468,frozenset({'bottled beer'}),1
0.06068301811134131,frozenset({'bottled water'}),1
0.0025395976742631824,frozenset({'brandy'}),1
0.03762614448974136,frozenset({'brown bread'}),1
0.03522020985096572,frozenset({'butter'}),1
0.017576689166610975,frozenset({'butter milk'}),1
0.006148499632426653,frozenset({'cake bar'}),1
0.004410880171088686,frozenset({'candles'}),1
0.014368776314910112,frozenset({'candy'}),1
0.04691572545612511,frozenset({'canned beer'}),1
0.007685624540533315,frozenset({'canned fish'}),1
0.001403461872619127,frozenset({'canned fruit'}),1
0.005480184454988973,frozenset({'canned vegetables'}),1
0.011829178640646929,frozenset({'cat food'}),1
0.002806923745238254,frozenset({'cereals'}),1
0.012029673193878232,frozenset({'chewing gum'}),1
0.027868742899151238,frozenset({'chicken'}),1
0.02359152576355009,frozenset({'chocolate'}),1
0.004009891064626078,frozenset({'chocolate marshmallow'}),1
0.05313105660629553,frozenset({'citrus fruit'}),1
0.0020717770500568067,frozenset({'cleaner'}),1
0.004945532313038829,frozenset({'cling film/bags'}),1
0.0010693042839002875,frozenset({'cocoa drinks'}),1
0.03161130789280225,frozenset({'coffee'}),1
0.0065494887388892606,frozenset({'condensed milk'}),1
0.0010024727661565194,frozenset({'cooking chocolate'}),1
0.0011361358016440553,frozenset({'cookware'}),1
0.023658357281293858,frozenset({'cream cheese'}),1
0.03368308494285905,frozenset({'curd'}),1
0.0030742498162133263,frozenset({'curd cheese'}),1
0.002205440085544343,frozenset({'dental care'}),1
0.02359152576355009,frozenset({'dessert'}),1
0.008621265788946068,frozenset({'detergent'}),1
0.004878700795295061,frozenset({'dish cleaner'}),1
0.009022254895408675,frozenset({'dishes'}),1
0.004477711688832453,frozenset({'dog food'}),1
0.037091492347791216,frozenset({'domestic eggs'}),1
0.0026732607097507185,frozenset({'female sanitary products'}),1
0.00427721713560115,frozenset({'finished products'}),1
0.0019381140145692708,frozenset({'fish'}),1
0.009757401590590123,frozenset({'flour'}),1
0.004611374724319989,frozenset({'flower (seeds)'}),1
0.0010693042839002875,frozenset({'flower soil/fertilizer'}),1
0.037759807525228894,frozenset({'frankfurter'}),1
0.006148499632426653,frozenset({'frozen dessert'}),1
0.006816814809864332,frozenset({'frozen fish'}),1
0.016774710953685757,frozenset({'frozen meals'}),1
0.0048118692775512934,frozenset({'frozen potato products'}),1
0.028002405934638777,frozenset({'frozen vegetables'}),1
0.03401724253157789,frozenset({'fruit/vegetable juice'}),1
0.01443560783265388,frozenset({'grapes'}),1
0.0171088685424046,frozenset({'ham'}),1
0.021853906302212123,frozenset({'hamburger meat'}),1
0.01470293390362895,frozenset({'hard cheese'}),1
0.010559379803515338,frozenset({'herbs'}),1
0.003007418298469558,frozenset({'house keeping products'}),1
0.013700461137472432,frozenset({'hygiene articles'}),1
0.015170754527835327,frozenset({'ice cream'}),1
0.00394305954688231,frozenset({'instant coffee'}),1
0.004009891064626078,frozenset({'instant food products'}),1
0.0022722716032881106,frozenset({'jam'}),1
0.002138608567800575,frozenset({'ketchup'}),1
0.002004945532313039,frozenset({'kitchen towels'}),1
0.0019381140145692708,frozenset({'light bulbs'}),1
0.0068836463276081,frozenset({'liquor'}),1
0.004477711688832453,frozenset({'liquor (appetizer)'}),1
0.003341575887188398,frozenset({'liver loaf'}),1
0.017910846755329814,frozenset({'long life bakery product'}),1
0.0024727661565194146,frozenset({'male cosmetics'}),1
0.03221279155249616,frozenset({'margarine'}),1
0.005012363830782597,frozenset({'mayonnaise'}),1
0.016841542471429525,frozenset({'meat'}),1
0.0023391031210318785,frozenset({'meat spreads'}),1
0.01577223818752924,frozenset({'misc. beverages'}),1
0.006148499632426653,frozenset({'mustard'}),1
0.022121232373187194,frozenset({'napkins'}),1
0.038895943326872955,frozenset({'newspapers'}),1
0.0014702933903628951,frozenset({'nut snack'}),1
0.002205440085544343,frozenset({'nuts/prunes'}),1
0.014903428456860256,frozenset({'oil'}),1
0.02024994987636169,frozenset({'onions'}),1
0.0014702933903628951,frozenset({'organic sausage'}),1
0.12210118291786407,frozenset({'other vegetables'}),1
0.00848760275345853,frozenset({'packaged fruit/vegetables'}),1
0.008086613646995923,frozenset({'pasta'}),1
0.0517275947336764,frozenset({'pastry'}),1
0.005680679008220277,frozenset({'pet care'}),1
0.005279689901757669,frozenset({'photo/film'}),1
0.008955423377664907,frozenset({'pickled vegetables'}),1
0.049054334023925686,frozenset({'pip fruit'}),1
0.003207912851700862,frozenset({'popcorn'}),1
0.037091492347791216,frozenset({'pork'}),1
0.007819287576020852,frozenset({'pot plants'}),1
0.0015371249081066632,frozenset({'potato products'}),1
0.01015839069705273,frozenset({'processed cheese'}),1
0.0012697988371315912,frozenset({'prosecco'}),1
0.0011361358016440553,frozenset({'pudding powder'}),1
0.0010024727661565194,frozenset({'ready soups'}),1
0.01049254828577157,frozenset({'red/blush wine'}),1
0.0032747443694446303,frozenset({'rice'}),1
0.005480184454988973,frozenset({'roll products'}),1
0.11000467820624206,frozenset({'rolls/buns'}),1
0.06957160997126245,frozenset({'root vegetables'}),1
0.002138608567800575,frozenset({'rum'}),1
0.005948005079195348,frozenset({'salt'}),1
0.018779656485998796,frozenset({'salty snack'}),1
0.0029405867807257902,frozenset({'sauces'}),1
0.06034886052262247,frozenset({'sausage'}),1
0.007084140880839404,frozenset({'seasonal products'}),1
0.009490075519615051,frozenset({'semi-finished bread'}),1
0.04758404063356279,frozenset({'shopping bags'}),1
0.0013366303548753592,frozenset({'skin care'}),1
0.014034618726191272,frozenset({'sliced cheese'}),1
0.001804450979081735,frozenset({'snack products'}),1
0.0013366303548753592,frozenset({'soap'}),1
0.09710619528169484,frozenset({'soda'}),1
0.010024727661565194,frozenset({'soft cheese'}),1
0.0027400922274944863,frozenset({'softener'}),1
0.003207912851700862,frozenset({'soups'}),1
0.0030742498162133263,frozenset({'sparkling wine'}),1
0.013967787208447505,frozenset({'specialty bar'}),1
0.0048118692775512934,frozenset({'specialty cheese'}),1
0.015972732740760543,frozenset({'specialty chocolate'}),1
0.0019381140145692708,frozenset({'specialty fat'}),1
0.0026732607097507185,frozenset({'spices'}),1
0.006683151774376796,frozenset({'spread cheese'}),1
0.01771035220209851,frozenset({'sugar'}),1
0.004544543206576221,frozenset({'sweet spreads'}),1
0.001403461872619127,frozenset({'syrup'}),1
0.001804450979081735,frozenset({'tea'}),1
0.0014702933903628951,frozenset({'tidbits'}),1
0.0677671589921807,frozenset({'tropical fruit'}),1
0.005346521419501437,frozenset({'turkey'}),1
0.021386085678005748,frozenset({'uht-milk'}),1
0.003408407404932166,frozenset({'vinegar'}),1
0.018512330415023724,frozenset({'waffles'}),1
0.043707812604424245,frozenset({'whipped/sour cream'}),1
0.023992514870012697,frozenset({'white bread'}),1
0.011695515605159393,frozenset({'white wine'}),1
0.15792287642852368,frozenset({'whole milk'}),1
0.08587850030074183,frozenset({'yogurt'}),1
0.004009891064626078,frozenset({'zwieback'}),1
0.0010693042839002875,"frozenset({'bottled beer', 'beef'})",2
0.0013366303548753592,"frozenset({'beef', 'bottled water'})",2
0.0015371249081066632,"frozenset({'brown bread', 'beef'})",2
0.0011361358016440553,"frozenset({'butter', 'beef'})",2
0.0010024727661565194,"frozenset({'canned beer', 'beef'})",2
0.001804450979081735,"frozenset({'citrus fruit', 'beef'})",2
0.0012697988371315912,"frozenset({'curd', 'beef'})",2
0.0011361358016440553,"frozenset({'domestic eggs', 'beef'})",2
0.0010024727661565194,"frozenset({'beef', 'frankfurter'})",2
0.0012697988371315912,"frozenset({'frozen vegetables', 'beef'})",2
0.0010693042839002875,"frozenset({'fruit/vegetable juice', 'beef'})",2
0.001403461872619127,"frozenset({'margarine', 'beef'})",2
0.001670787943594199,"frozenset({'newspapers', 'beef'})",2
0.002806923745238254,"frozenset({'other vegetables', 'beef'})",2
0.0012029673193878234,"frozenset({'pastry', 'beef'})",2
0.001603956425850431,"frozenset({'beef', 'rolls/buns'})",2
0.001670787943594199,"frozenset({'beef', 'root vegetables'})",2
0.0012697988371315912,"frozenset({'shopping bags', 'beef'})",2
0.001804450979081735,"frozenset({'soda', 'beef'})",2
0.0011361358016440553,"frozenset({'beef', 'tropical fruit'})",2
0.001403461872619127,"frozenset({'whipped/sour cream', 'beef'})",2
0.004678206242063757,"frozenset({'beef', 'whole milk'})",2
0.002205440085544343,"frozenset({'yogurt', 'beef'})",2
0.0010693042839002875,"frozenset({'berries', 'bottled water'})",2
0.0026732607097507185,"frozenset({'berries', 'other vegetables'})",2
0.0010693042839002875,"frozenset({'pastry', 'berries'})",2
0.0011361358016440553,"frozenset({'berries', 'pip fruit'})",2
0.001670787943594199,"frozenset({'berries', 'rolls/buns'})",2
0.0010693042839002875,"frozenset({'berries', 'root vegetables'})",2
0.0014702933903628951,"frozenset({'berries', 'soda'})",2
0.0012697988371315912,"frozenset({'berries', 'tropical fruit'})",2
0.0022722716032881106,"frozenset({'berries', 'whole milk'})",2
0.001403461872619127,"frozenset({'berries', 'yogurt'})",2
0.0010693042839002875,"frozenset({'bottled water', 'beverages'})",2
0.0017376194613379669,"frozenset({'other vegetables', 'beverages'})",2
0.0012029673193878234,"frozenset({'rolls/buns', 'beverages'})",2
0.0015371249081066632,"frozenset({'sausage', 'beverages'})",2
0.001871282496825503,"frozenset({'soda', 'beverages'})",2
0.0019381140145692708,"frozenset({'whole milk', 'beverages'})",2
0.0025395976742631824,"frozenset({'bottled beer', 'bottled water'})",2
0.0015371249081066632,"frozenset({'bottled beer', 'brown bread'})",2
0.001670787943594199,"frozenset({'butter', 'bottled beer'})",2
0.001871282496825503,"frozenset({'bottled beer', 'canned beer'})",2
0.0010024727661565194,"frozenset({'bottled beer', 'chicken'})",2
0.0010024727661565194,"frozenset({'bottled beer', 'chocolate'})",2
0.001670787943594199,"frozenset({'bottled beer', 'citrus fruit'})",2
0.0011361358016440553,"frozenset({'bottled beer', 'curd'})",2
0.001670787943594199,"frozenset({'bottled beer', 'domestic eggs'})",2
0.001670787943594199,"frozenset({'bottled beer', 'frankfurter'})",2
0.001403461872619127,"frozenset({'bottled beer', 'frozen vegetables'})",2
0.001670787943594199,"frozenset({'bottled beer', 'fruit/vegetable juice'})",2
0.0010693042839002875,"frozenset({'hamburger meat', 'bottled beer'})",2
0.0010693042839002875,"frozenset({'bottled beer', 'margarine'})",2
0.0017376194613379669,"frozenset({'bottled beer', 'newspapers'})",2
0.004678206242063757,"frozenset({'bottled beer', 'other vegetables'})",2
0.0020717770500568067,"frozenset({'pastry', 'bottled beer'})",2
0.0015371249081066632,"frozenset({'bottled beer', 'pip fruit'})",2
0.0010693042839002875,"frozenset({'bottled beer', 'pork'})",2
0.004009891064626078,"frozenset({'bottled beer', 'rolls/buns'})",2
0.0024727661565194146,"frozenset({'bottled beer', 'root vegetables'})",2
0.003341575887188398,"frozenset({'bottled beer', 'sausage'})",2
0.0014702933903628951,"frozenset({'bottled beer', 'shopping bags'})",2
0.0029405867807257902,"frozenset({'bottled beer', 'soda'})",2
0.0025395976742631824,"frozenset({'bottled beer', 'tropical fruit'})",2
0.0012029673193878234,"frozenset({'bottled beer', 'whipped/sour cream'})",2
0.007150972398583172,"frozenset({'bottled beer', 'whole milk'})",2
0.003408407404932166,"frozenset({'bottled beer', 'yogurt'})",2
0.0015371249081066632,"frozenset({'brown bread', 'bottled water'})",2
0.001804450979081735,"frozenset({'butter', 'bottled water'})",2
0.0014702933903628951,"frozenset({'canned beer', 'bottled water'})",2
0.0013366303548753592,"frozenset({'chicken', 'bottled water'})",2
0.001403461872619127,"frozenset({'chocolate', 'bottled water'})",2
0.0026064291920069507,"frozenset({'citrus fruit', 'bottled water'})",2
0.0015371249081066632,"frozenset({'coffee', 'bottled water'})",2
0.0019381140145692708,"frozenset({'curd', 'bottled water'})",2
0.0010693042839002875,"frozenset({'bottled water', 'dessert'})",2
0.002138608567800575,"frozenset({'domestic eggs', 'bottled water'})",2
0.002205440085544343,"frozenset({'bottled water', 'frankfurter'})",2
0.0010693042839002875,"frozenset({'frozen vegetables', 'bottled water'})",2
